node_name,parent_node,product_name,node_type,side,lt_wks,region,ss_days,buffering_stock_flag,description,supply_role
Import_Hub_EU,,Gasoline_EU_Import,mom,inbound,1,EU,7,0,輸入基地（架空・受入処理LT）,
Refinery_US,Import_Hub_EU,Gasoline_EU_Import,leaf_in,inbound,3,US,0,0,米国湾岸産 精製済みガソリン タンカー輸送（架空）,
SP_Oil_US_Local,,Gasoline_US_Local,supply_point,outbound,0,,0,0,Supply Point bridge OT/IN (Gasoline_US_Local),
Tank_US_Local,SP_Oil_US_Local,Gasoline_US_Local,dad,outbound,1,US,7,0,米国内貯油タンク（架空）,
Retail_US_TX,Tank_US_Local,Gasoline_US_Local,leaf_out,outbound,1,TX,0,0,テキサス 給油所,
Retail_US_CA,Tank_US_Local,Gasoline_US_Local,leaf_out,outbound,2,CA,0,0,カリフォルニア 給油所,
Retail_US_NY,Tank_US_Local,Gasoline_US_Local,leaf_out,outbound,2,NY,0,0,ニューヨーク 給油所,
Refinery_USGulf,,Gasoline_US_Local,mom,inbound,1,US,7,0,米国湾岸製油所（架空・精製処理LT、国内シェール原油のため短LT）,
Shale_Permian,Refinery_USGulf,Gasoline_US_Local,leaf_in,inbound,1,US,0,0,シェールオイル パイプライン輸送（架空、国内短距離）,
SP_Oil_US_Import,,Gasoline_US_Import,supply_point,outbound,0,,0,0,Supply Point bridge OT/IN (Gasoline_US_Import),
Tank_US_Import,SP_Oil_US_Import,Gasoline_US_Import,dad,outbound,1,US,14,1,輸入貯油タンク（架空・パイプライン供給バッファ）,
Retail_US_Import_MW_I,Tank_US_Import,Gasoline_US_Import,leaf_out,outbound,1,MW_I,0,0,中西部 給油所（カナダ産輸入品）,
Retail_US_Import_NE_I,Tank_US_Import,Gasoline_US_Import,leaf_out,outbound,2,NE_I,0,0,北東部 給油所（カナダ産輸入品）,
Import_Hub_US,,Gasoline_US_Import,mom,inbound,1,US,7,0,パイプライン受入基地（架空・受入処理LT）,
OilSands_Alberta,Import_Hub_US,Gasoline_US_Import,leaf_in,inbound,2,CA_PROV,0,0,カナダ産オイルサンド パイプライン輸送（架空）,
